source,target,link_type,direction,confidence,inferred
HADOOP-17799,HADOOP-17090,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17799,HADOOP-17484,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17799,HADOOP-16603,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17798,HADOOP-16358,augmented_soft_depends_on,augmented,0.76,True
HADOOP-17798,HADOOP-16944,augmented_soft_depends_on,augmented,0.737,True
HADOOP-17798,HADOOP-16802,augmented_soft_depends_on,augmented,0.726,True
HADOOP-17797,HADOOP-17640,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17797,HADOOP-17737,augmented_soft_depends_on,augmented,0.783,True
HADOOP-17797,HADOOP-16937,augmented_soft_depends_on,augmented,0.743,True
HADOOP-17796,HADOOP-16283,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17796,HADOOP-16676,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17796,HADOOP-17625,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17795,HADOOP-17486,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17795,HADOOP-16848,augmented_soft_depends_on,augmented,0.75,True
HADOOP-17795,HADOOP-17811,augmented_soft_depends_on,augmented,0.709,True
HADOOP-17794,HADOOP-16972,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17794,HADOOP-17204,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17794,HADOOP-16876,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17793,HADOOP-17239,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17793,HADOOP-17121,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17793,HADOOP-16658,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17792,HADOOP-17019,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17792,HADOOP-17121,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17792,HADOOP-17571,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17790,HADOOP-16281,augmented_soft_depends_on,augmented,0.741,True
HADOOP-17790,HADOOP-16660,augmented_soft_depends_on,augmented,0.706,True
HADOOP-17790,HADOOP-17132,augmented_soft_depends_on,augmented,0.706,True
HADOOP-17789,HADOOP-17180,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17789,HADOOP-17095,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17789,HADOOP-16751,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17788,HADOOP-17487,augmented_soft_depends_on,augmented,0.745,True
HADOOP-17788,HADOOP-17683,augmented_soft_depends_on,augmented,0.682,True
HADOOP-17788,HADOOP-17387,augmented_soft_depends_on,augmented,0.675,True
HADOOP-17787,HADOOP-16195,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17787,HADOOP-16970,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17787,HADOOP-17345,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17786,HADOOP-17787,augmented_soft_depends_on,augmented,0.749,True
HADOOP-17786,HADOOP-16648,augmented_soft_depends_on,augmented,0.7,True
HADOOP-17786,HADOOP-17581,augmented_soft_depends_on,augmented,0.686,True
HADOOP-17785,HADOOP-17298,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17785,HADOOP-17078,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17785,HADOOP-17056,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17784,HADOOP-17812,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17784,HADOOP-17061,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17784,HADOOP-16799,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17783,HADOOP-17633,augmented_soft_depends_on,augmented,0.799,True
HADOOP-17783,HADOOP-17371,augmented_soft_depends_on,augmented,0.778,True
HADOOP-17783,HADOOP-17442,augmented_soft_depends_on,augmented,0.755,True
HADOOP-17782,HADOOP-16309,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17782,HADOOP-17298,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17782,HADOOP-17007,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17781,HADOOP-17535,augmented_soft_depends_on,augmented,0.722,True
HADOOP-17781,HADOOP-17149,augmented_soft_depends_on,augmented,0.718,True
HADOOP-17781,HADOOP-17213,augmented_soft_depends_on,augmented,0.699,True
HADOOP-17779,HADOOP-16963,augmented_soft_depends_on,augmented,0.759,True
HADOOP-17779,HADOOP-16833,augmented_soft_depends_on,augmented,0.717,True
HADOOP-17779,HADOOP-16461,augmented_soft_depends_on,augmented,0.67,True
HADOOP-17778,HADOOP-17815,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17778,HADOOP-17807,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17778,HADOOP-17816,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17777,HADOOP-17529,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17777,HADOOP-17442,augmented_soft_depends_on,augmented,0.785,True
HADOOP-17777,HADOOP-16216,augmented_soft_depends_on,augmented,0.748,True
HADOOP-17775,HADOOP-16331,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17775,HADOOP-16309,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17775,HADOOP-17344,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17774,HADOOP-17764,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17774,HADOOP-17263,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17774,HADOOP-17347,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17773,HADOOP-16579,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17773,HADOOP-17612,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17773,HADOOP-16873,augmented_soft_depends_on,augmented,0.726,True
HADOOP-17772,HADOOP-16430,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17772,HADOOP-16429,augmented_soft_depends_on,augmented,0.753,True
HADOOP-17772,HADOOP-16447,augmented_soft_depends_on,augmented,0.744,True
HADOOP-17771,HADOOP-17705,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17771,HADOOP-16838,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17771,HADOOP-16481,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17770,HADOOP-17038,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17770,HADOOP-17764,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17770,HADOOP-17347,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17769,HADOOP-17316,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17769,HADOOP-17602,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17769,HADOOP-17684,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17768,HADOOP-17160,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17768,HADOOP-16666,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17768,HADOOP-16811,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17767,HADOOP-17160,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17767,HADOOP-16666,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17767,HADOOP-17213,augmented_soft_depends_on,augmented,0.79,True
HADOOP-17766,HADOOP-17816,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17766,HADOOP-17778,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17766,HADOOP-17807,augmented_soft_depends_on,augmented,0.733,True
HADOOP-17765,HADOOP-17107,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17765,HADOOP-16633,augmented_soft_depends_on,augmented,0.772,True
HADOOP-17765,HADOOP-17203,augmented_soft_depends_on,augmented,0.719,True
HADOOP-17764,HADOOP-17181,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17764,HADOOP-17347,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17764,HADOOP-17038,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17762,HADOOP-17438,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17762,HADOOP-17378,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17762,HADOOP-17130,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17761,HADOOP-17518,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17761,HADOOP-16230,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17761,HADOOP-16372,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17760,HADOOP-16549,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17760,HADOOP-16656,augmented_soft_depends_on,augmented,0.777,True
HADOOP-17760,HADOOP-16886,augmented_soft_depends_on,augmented,0.735,True
HADOOP-17759,HADOOP-16627,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17759,HADOOP-17435,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17759,HADOOP-16993,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17756,HADOOP-17090,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17756,HADOOP-16766,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17756,HADOOP-16447,augmented_soft_depends_on,augmented,0.748,True
HADOOP-17755,HADOOP-17216,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17755,HADOOP-17258,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17755,HADOOP-17241,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17754,HADOOP-17088,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17754,HADOOP-17751,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17754,HADOOP-17749,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17753,HADOOP-17732,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17753,HADOOP-16924,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17753,HADOOP-17344,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17752,HADOOP-17665,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17752,HADOOP-17751,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17752,HADOOP-17088,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17751,HADOOP-17752,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17751,HADOOP-17754,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17751,HADOOP-17088,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17750,HADOOP-17560,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17750,HADOOP-17277,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17750,HADOOP-17294,augmented_soft_depends_on,augmented,0.752,True
HADOOP-17749,HADOOP-17754,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17749,HADOOP-16247,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17749,HADOOP-17378,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17748,HADOOP-17074,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17748,HADOOP-16433,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17748,HADOOP-17131,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17747,HADOOP-17089,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17747,HADOOP-17343,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17747,HADOOP-17615,augmented_soft_depends_on,augmented,0.783,True
